City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Butaritari,KI,2022-03-27 20:48:22,3.0707,172.7902,80.65,67,99,8.9,overcast clouds
60,Iquique,CL,2022-03-27 20:52:15,-20.2208,-70.1431,68.04,71,12,7.81,few clouds
61,Carnarvon,AU,2022-03-27 20:52:29,-24.8667,113.6333,69.87,83,40,4.61,scattered clouds
62,Saldanha,ZA,2022-03-27 20:52:30,-33.0117,17.9442,63.61,73,6,3.47,clear sky
63,Faanui,PF,2022-03-27 20:49:52,-16.4833,-151.75,82.18,73,20,14.97,light rain
64,Zhigansk,RU,2022-03-27 20:52:31,66.7697,123.3711,-6.05,100,96,2.73,overcast clouds
65,Meulaboh,ID,2022-03-27 20:52:31,4.1363,96.1285,77.16,85,96,3.78,overcast clouds
66,Hambantota,LK,2022-03-27 20:52:31,6.1241,81.1185,77.34,100,0,4.61,clear sky
67,Port Alfred,ZA,2022-03-27 20:52:32,-33.5906,26.891,67.17,90,99,1.99,overcast clouds
68,Port-Cartier,CA,2022-03-27 20:52:32,50.0334,-66.8654,32.22,100,100,5.82,light snow
69,Kavieng,PG,2022-03-27 20:52:33,-2.5744,150.7967,82.08,76,73,7.85,broken clouds
70,Vaini,TO,2022-03-27 20:52:33,-21.2,-175.2,78.96,94,75,3.44,broken clouds
71,Ekibastuz,KZ,2022-03-27 20:52:34,51.6667,75.3667,23.32,96,98,6.11,overcast clouds
72,Aswan,EG,2022-03-27 20:52:34,24.0934,32.907,66.04,14,100,13.22,overcast clouds
73,Senneterre,CA,2022-03-27 20:52:35,48.3835,-77.2328,8.94,88,100,11.61,light snow
74,Kautokeino,NO,2022-03-27 20:48:51,69.0125,23.0412,15.31,91,100,15.82,light snow
75,Yellowknife,CA,2022-03-27 20:48:12,62.456,-114.3525,14.41,63,20,5.75,few clouds
76,Pisco,PE,2022-03-27 20:48:26,-13.7,-76.2167,77.05,65,0,18.41,clear sky
77,Panguna,PG,2022-03-27 20:52:36,-6.3164,155.4848,70.99,93,100,1.41,overcast clouds
78,Hobyo,SO,2022-03-27 20:52:36,5.3505,48.5268,80.58,63,100,13.35,overcast clouds
79,Bredasdorp,ZA,2022-03-27 20:52:36,-34.5322,20.0403,64.99,81,38,2.71,scattered clouds
80,Mackay,AU,2022-03-27 20:51:14,-21.15,149.2,68.68,94,13,4.61,few clouds
81,Saint-Philippe,RE,2022-03-27 20:48:43,-21.3585,55.7679,76.59,85,99,10.71,overcast clouds
82,Sitka,US,2022-03-27 20:49:29,57.0531,-135.33,42.69,70,40,9.22,scattered clouds
83,Dawlatabad,AF,2022-03-27 20:52:38,36.4141,64.9053,50.49,47,0,4.16,clear sky
84,Can Tho,VN,2022-03-27 20:52:38,10.0333,105.7833,76.98,94,40,1.14,scattered clouds
85,Key Largo,US,2022-03-27 20:52:38,25.0865,-80.4473,81.0,45,0,12.26,clear sky
86,Oksfjord,NO,2022-03-27 20:52:39,70.2396,22.3479,12.27,92,72,10.58,broken clouds
87,Tuktoyaktuk,CA,2022-03-27 20:52:39,69.4541,-133.0374,-11.2,64,0,8.05,clear sky
88,Ushuaia,AR,2022-03-27 20:52:40,-54.8,-68.3,51.46,50,20,12.66,few clouds
89,Alofi,NU,2022-03-27 20:52:40,-19.0595,-169.9187,80.49,83,75,10.36,broken clouds
90,Salalah,OM,2022-03-27 20:52:41,17.0151,54.0924,77.67,49,6,2.3,clear sky
91,Luderitz,NA,2022-03-27 20:52:41,-26.6481,15.1594,65.91,64,0,4.81,clear sky
92,Garowe,SO,2022-03-27 20:52:41,8.4054,48.4845,73.11,46,42,12.57,scattered clouds
93,Vostok,RU,2022-03-27 20:52:42,46.4856,135.8833,20.43,98,100,3.71,light snow
94,Cockburn Town,TC,2022-03-27 20:52:42,21.4612,-71.1419,78.76,65,40,13.8,scattered clouds
95,Berlevag,NO,2022-03-27 20:52:43,70.8578,29.0864,21.15,86,75,4.61,broken clouds
96,Raahe,FI,2022-03-27 20:52:44,64.6833,24.4833,23.09,93,100,16.6,light snow
97,Taga,RO,2022-03-27 20:52:44,46.95,24.05,43.32,47,8,3.47,clear sky
98,Bilma,NE,2022-03-27 20:52:44,18.6853,12.9164,74.44,9,0,6.44,clear sky
99,Dingzhou,CN,2022-03-27 20:52:45,38.5131,114.9956,35.71,34,0,3.44,clear sky
100,Bathsheba,BB,2022-03-27 20:51:24,13.2167,-59.5167,83.01,61,20,16.11,few clouds
101,Mount Gambier,AU,2022-03-27 20:52:46,-37.8333,140.7667,60.71,94,75,6.91,broken clouds
102,Manokwari,ID,2022-03-27 20:49:19,-0.8667,134.0833,77.9,81,100,4.29,overcast clouds
103,Castro,BR,2022-03-27 20:52:46,-24.7911,-50.0119,70.07,76,6,2.64,clear sky
104,Port Augusta,AU,2022-03-27 20:52:47,-32.5,137.7667,68.31,57,96,9.13,overcast clouds
105,Aklavik,CA,2022-03-27 20:49:21,68.2191,-135.0107,1.26,87,88,4.23,overcast clouds
106,Santa Maria,BR,2022-03-27 20:52:47,-29.6842,-53.8069,79.9,50,40,4.61,scattered clouds
107,Ilulissat,GL,2022-03-27 20:48:16,69.2167,-51.1,28.42,46,0,0.0,clear sky
108,Bodden Town,KY,2022-03-27 20:49:44,19.2833,-81.25,82.4,65,40,14.97,scattered clouds
109,Ambon,ID,2022-03-27 20:51:03,-3.6954,128.1814,75.34,94,40,5.75,light rain
110,Ribeira Grande,PT,2022-03-27 20:52:48,38.5167,-28.7,61.2,72,20,9.22,few clouds
111,Nikolskoye,RU,2022-03-27 20:52:49,59.7035,30.7861,29.88,80,100,7.25,overcast clouds
112,Lazaro Cardenas,MX,2022-03-27 20:49:09,17.9583,-102.2,84.96,38,89,12.53,overcast clouds
113,Makakilo City,US,2022-03-27 20:48:21,21.3469,-158.0858,76.01,73,100,8.05,light rain
114,Jiexiu,CN,2022-03-27 20:52:50,37.0244,111.9125,45.5,34,14,3.98,few clouds
115,Cozumel,MX,2022-03-27 20:52:50,20.5083,-86.9458,81.95,64,5,11.01,clear sky
116,Jauja,PE,2022-03-27 20:52:51,-11.7758,-75.4966,60.46,60,96,6.87,overcast clouds
117,Ketchikan,US,2022-03-27 20:52:51,55.3422,-131.6461,46.87,66,20,11.5,few clouds
118,Lorengau,PG,2022-03-27 20:52:52,-2.0226,147.2712,81.07,77,98,5.26,overcast clouds
119,Talnakh,RU,2022-03-27 20:52:52,69.4865,88.3972,4.41,96,100,5.46,overcast clouds
120,Jutai,BR,2022-03-27 20:52:52,-5.1833,-68.9,74.35,97,100,0.89,overcast clouds
121,Lexington,US,2022-03-27 20:49:15,37.9887,-84.4777,45.99,35,0,11.5,clear sky
122,Puerto Escondido,MX,2022-03-27 20:52:06,15.85,-97.0667,85.24,61,100,7.38,overcast clouds
123,Bethel,US,2022-03-27 20:49:29,41.3712,-73.414,44.02,58,100,16.11,overcast clouds
124,Chuy,UY,2022-03-27 20:52:53,-33.6971,-53.4616,73.51,50,0,2.62,clear sky
125,Hithadhoo,MV,2022-03-27 20:52:54,-0.6,73.0833,81.9,66,4,5.73,clear sky
126,Tuburan,PH,2022-03-27 20:52:54,6.6439,122.2736,79.88,80,99,5.88,overcast clouds
127,Bebedouro,BR,2022-03-27 20:50:35,-20.9494,-48.4792,74.73,83,98,6.78,overcast clouds
128,Cayenne,GF,2022-03-27 20:52:55,4.9333,-52.3333,81.09,1,75,13.8,broken clouds
129,Hun,LY,2022-03-27 20:52:55,29.1268,15.9477,68.5,10,14,9.35,few clouds
130,Lompoc,US,2022-03-27 20:52:56,34.6391,-120.4579,70.61,67,100,21.99,haze
131,Yumen,CN,2022-03-27 20:52:56,40.2833,97.2,46.0,19,77,13.85,broken clouds
132,New Norfolk,AU,2022-03-27 20:52:57,-42.7826,147.0587,60.71,63,89,2.46,light rain
133,Brownsville,US,2022-03-27 20:52:57,25.9018,-97.4975,84.09,48,0,20.71,clear sky
134,Namibe,AO,2022-03-27 20:52:58,-15.1961,12.1522,71.92,73,90,12.71,overcast clouds
135,Ostrovnoy,RU,2022-03-27 20:52:58,68.0531,39.5131,17.4,79,100,2.91,overcast clouds
136,Panaba,MX,2022-03-27 20:52:58,21.2833,-88.2667,86.0,33,2,21.43,clear sky
137,Sulangan,PH,2022-03-27 20:52:59,11.1373,123.7228,80.91,80,58,10.25,broken clouds
138,Dunedin,NZ,2022-03-27 20:51:51,-45.8742,170.5036,60.8,86,0,7.0,clear sky
139,Qaanaaq,GL,2022-03-27 20:52:49,77.484,-69.3632,10.02,89,100,4.79,overcast clouds
